player,map,category,time,proof,date,tag
"Nugglei","The Emerald Isle","R6 Skipless","19.3","https://youtu.be/qzjGHTQsdbM","February 5, 2022",""
"1caut","Twilight Lagoon","Glitch","7.9","https://streamable.com/w3bacr","February 14, 2022",""
"Gavin","The Realm Between","Skipless IGT","32.7","https://youtu.be/vD7hUF8JqV4","March 1, 2022",""
"qkr898","Swamp","Skipless EGT","24.217","https://www.youtube.com/watch?v=SEgLDP3HbcE","March 12, 2022",""
"Skele","Floatroads","Skipless EGT","26.133","https://www.youtube.com/watch?v=-7YlOmaOWT0","44635",""
"Skele","Swamp","Skipless IGT","24.2","https://www.youtube.com/watch?v=9pKgsq8h1UQ","March 16, 2022",""
"Skele","Floatroads","Skipless IGT","26.1","https://www.youtube.com/watch?v=-7YlOmaOWT0","March 16, 2022",""
"Nugglei","Cavern of Darkness","Skipless IGT","22.4","https://youtu.be/uLwRlWuYXVM","March 18, 2022",""
"qkr898","Floatroads","Skipless IGT","26.1","https://media.discordapp.net/attachments/585481591074062336/954771802486362172/20220214_173045.jpg?ex=68996b48&is=689819c8&hm=8576f322748f0ffc3629e786b77eb7254993a121e387a70673e970ebc65a6fd4&=&format=webp&width=642&height=856","March 19, 2022",""
"Skele","Tropical Islands","Skipless IGT","46.7","https://www.youtube.com/watch?v=6ZmyMx0vUuM","44640",""
"Skele","Tropical Islands","Skipless EGT","46.633","https://www.youtube.com/watch?v=6ZmyMx0vUuM","44640",""
"Burrito","River of Ice","Skipless IGT","12.8","https://media.discordapp.net/attachments/585481591074062336/960594153350234152/Desktop_Screenshot_2022.04.04_-_18.37.10.42.png?ex=689981c5&is=68983045&hm=93e43e2a7b0f1ee636d801dcf6921450ee163b0238e2ff149efa64f778033e2b&=&format=webp&quality=lossless&width=1522&height=856","April 4, 2022",""
"Nugglei","Autumn Woodlands","Skip IGT","11.3","https://www.youtube.com/watch?v=iGc7OSVgvkI","May 1, 2022",""
"Nugglei","Candyland","Skipless IGT","16","https://www.youtube.com/watch?v=75cXflSco1A","May 3, 2022",""
"qkr898","Night Terrors","Skip IGT","17.4","https://youtu.be/-n0yKBdKdPg","May 11, 2022",""
"Nugglei","Swamp","R15 Skipless","24.3","https://youtu.be/6_9lr_Xr4S4?si=0HPVqcWUEcgZezGP","May 13, 2022",""
